emotion,song,artist
surprise,BREAK MY SOUL,Beyoncé
surprise,Girl Gone Wild,Madonna
surprise,A Guitar and a Heart,M83
surprise,Snitch,lil wayne
surprise,Pussy Pop,Mystikal
surprise,GOOD TIME (Andrelli Remix),Niko Moon
surprise,Up Out My Face,Mariah Carey
surprise,Up Out My Face,Mariah Carey feat. Nicki Minaj
surprise,Cake (feat. Wiz Khalifa),YBN Nahmir feat. Wiz Khalifa
surprise,Catch Me,Nicki Minaj
surprise,Everybody Drunk,Ludacris feat. Lil Scrappy
surprise,Shut Your Mouth,Garbage
surprise,Leanin',Lil Peep
surprise,Trick Me,Kelis
surprise,Trick Me (Mac & Toolz Extended Remix),Kelis
surprise,Catch,Brett Young
