model,accuracy,f1_macro,f1_weighted,train_time_seconds
Linear SVM,0.8945,0.8419480107343396,0.8943825419084415,1.7830318999995143
Logistic Regression,0.869,0.8067956991685906,0.8645726829473935,0.7231785000003583
Gradient Boosting,0.8595,0.8281362414824197,0.8634702878011785,43.95523569999932
Random Forest,0.8575,0.8134210591927382,0.8590986550150895,5.6701008
Naive Bayes,0.7175,0.4855171742290885,0.6656686606031883,0.014075600000069244
